node_id,node_type,original_id,label
recipe_148,recipe,18,Sindhi Style Doda Recipe (Spring Onion Rice Flour Flat Bread Recipe)
ingredient_149,ingredient,rice flour,rice flour
ingredient_150,ingredient,spring onion greens,spring onion greens
ingredient_151,ingredient,methi leaves fenugreek leaves,methi leaves fenugreek leaves
meal_type_152,meal_type,breakfast,breakfast
recipe_153,recipe,19,Savory Multigrain Waffles Recipe with Green Chillies & Tabasco Sauce
ingredient_154,ingredient,flaxmeal egg replacer,flaxmeal egg replacer
ingredient_155,ingredient,baking powder,baking powder
ingredient_156,ingredient,whole wheat flour,whole wheat flour
ingredient_157,ingredient,ragi flour finger millet nagli,ragi flour finger millet nagli
recipe_158,recipe,20,Maharashtrian Style Kolhapuri Khichdi Recipe
ingredient_159,ingredient,tapioca flour sago,tapioca flour sago
ingredient_160,ingredient,potato aloo,potato aloo
ingredient_161,ingredient,roasted peanuts moongphali,roasted peanuts moongphali
ingredient_162,ingredient,fresh coconut,fresh coconut
cuisine_163,cuisine,maharashtrian,maharashtrian
region_164,region,west,west
state_165,state,maharashtra,maharashtra
recipe_166,recipe,21,Murgh Musallam Recipe - Masala Roasted Chicken
ingredient_167,ingredient,chicken drumstick,chicken drumstick
ingredient_168,ingredient,black cardamom badi elaichi,black cardamom badi elaichi
ingredient_169,ingredient,mace javitri,mace javitri
ingredient_170,ingredient,nutmeg,nutmeg
diet_171,diet,diet: non vegeterian,diet: non vegeterian
recipe_172,recipe,22,Andhra Style Tamati Pachadi Recipe (Tomato Chutney)
ingredient_173,ingredient,tamarind paste,tamarind paste
ingredient_174,ingredient,mustard seeds rai kadugu,mustard seeds rai kadugu
ingredient_175,ingredient,methi seeds fenugreek seeds,methi seeds fenugreek seeds
cuisine_176,cuisine,andhra,andhra
region_177,region,south,south
state_178,state,andhra pradesh,andhra pradesh
recipe_179,recipe,23,Dherosh Chingri Jhol Recipe (Bengali Style Prawn Curry With Ladies Finger)
ingredient_180,ingredient,prawns,prawns
ingredient_181,ingredient,mustard oil,mustard oil
cuisine_182,cuisine,bengali,bengali
recipe_183,recipe,24,Makhana ki Sabzi Recipe
ingredient_184,ingredient,phool makhana lotus seeds,phool makhana lotus seeds
ingredient_185,ingredient,green peas matar,green peas matar
ingredient_186,ingredient,pumpkin seeds,pumpkin seeds
recipe_187,recipe,25,Asian Style Bean Sprout & Corn Salad Recipe
ingredient_188,ingredient,bean sprouts,bean sprouts
ingredient_189,ingredient,star fruit,star fruit
ingredient_190,ingredient,sweet corn,sweet corn
ingredient_191,ingredient,spring onion bulb amp,spring onion bulb amp
ingredient_192,ingredient,greens,greens
ingredient_193,ingredient,iceberg lettuce,iceberg lettuce
ingredient_194,ingredient,lemon,lemon
ingredient_195,ingredient,dry red chilli,dry red chilli
recipe_196,recipe,26,Chicken Kappa Biryani Recipe
ingredient_197,ingredient,tapioca root,tapioca root
ingredient_198,ingredient,curry leaves,curry leaves
cuisine_199,cuisine,kerala,kerala
state_200,state,kerala,kerala
recipe_201,recipe,27,Coriander Garlic Baked Chicken Recipe
ingredient_202,ingredient,chicken breasts,chicken breasts
ingredient_203,ingredient,garlic butter,garlic butter
cuisine_204,cuisine,indian,indian
recipe_205,recipe,28,Focaccia Bread with Sweet Onion and Capers Recipe
ingredient_206,ingredient,active dry yeast,active dry yeast
ingredient_207,ingredient,capers,capers
ingredient_208,ingredient,fresh thyme leaves,fresh thyme leaves
ingredient_209,ingredient,dried oregano,dried oregano
recipe_210,recipe,29,Soft Taco With Mushroom and Roasted Bell pepper Sauce Recipe
ingredient_211,ingredient,makki ka atta yellow corn meal flour,makki ka atta yellow corn meal flour
ingredient_212,ingredient,cheese,cheese
cuisine_213,cuisine,mexican,mexican
recipe_214,recipe,30,Sweet Potato & Methi Stuffed Paratha Recipe
ingredient_215,ingredient,sweet potato,sweet potato
diet_216,diet,diet: diabetic friendly,diet: diabetic friendly
recipe_217,recipe,31,Kerala Style Ulli Theeyal Recipe - Small Onions Roasted in Spicy Tamarind Coconut Gravy
ingredient_218,ingredient,shallots,shallots
ingredient_219,ingredient,tamarind water,tamarind water
ingredient_220,ingredient,asafoetida hing,asafoetida hing
recipe_221,recipe,32,Khandeshi Sev Bhaji Recipe
ingredient_222,ingredient,sev,sev
ingredient_223,ingredient,maharashtrian goda masala,maharashtrian goda masala
ingredient_224,ingredient,jaggery,jaggery
ingredient_225,ingredient,dry coconut kopra,dry coconut kopra
recipe_226,recipe,33,Persian Style Taftan Recipe
ingredient_227,ingredient,cardamom powder elaichi,cardamom powder elaichi
ingredient_228,ingredient,kalonji onion nigella seeds,kalonji onion nigella seeds
cuisine_229,cuisine,mediterranean,mediterranean
recipe_230,recipe,34,Traditional Whole Gobi Musallam Recipe
recipe_231,recipe,35,Soya Chunk And Green Peas Sabzi Recipe
ingredient_232,ingredient,soybeans whole soya dal,soybeans whole soya dal
recipe_233,recipe,36,स्वीट कॉर्न पोरियल - Sweet Corn Poriyal (Recipe In Hindi)
ingredient_234,ingredient,xa0,xa0
cuisine_235,cuisine,tamil nadu,tamil nadu
state_236,state,tamil nadu,tamil nadu
recipe_237,recipe,37,Coriander Tamarind Millet Rice Recipe
ingredient_238,ingredient,foxtail millet,foxtail millet
ingredient_239,ingredient,white urad dal split,white urad dal split
ingredient_240,ingredient,chana dal bengal gram dal,chana dal bengal gram dal
ingredient_241,ingredient,raw peanuts moongphali,raw peanuts moongphali
ingredient_242,ingredient,tamarind,tamarind
recipe_243,recipe,38,Vegetable Pasta Soup Recipe
ingredient_244,ingredient,mixed vegetables,mixed vegetables
ingredient_245,ingredient,pasta,pasta
ingredient_246,ingredient,kabuli chana white chickpeas,kabuli chana white chickpeas
ingredient_247,ingredient,tomato ketchup,tomato ketchup
ingredient_248,ingredient,dried basil leaves,dried basil leaves
ingredient_249,ingredient,cinnamon powder dalchini,cinnamon powder dalchini
ingredient_250,ingredient,paprika powder,paprika powder
ingredient_251,ingredient,whole black peppercorns,whole black peppercorns
recipe_252,recipe,39,Soy Chunks Manchurian Recipe In Sweet & Spicy Chinese Sauce
ingredient_253,ingredient,soy chunks nuggets,soy chunks nuggets
ingredient_254,ingredient,corn flour,corn flour
ingredient_255,ingredient,red chilli sauce,red chilli sauce
cuisine_256,cuisine,indo chinese,indo chinese
recipe_257,recipe,40,Vegetarian Sushi Recipe
ingredient_258,ingredient,seaweed sheets,seaweed sheets
ingredient_259,ingredient,cooked rice,cooked rice
ingredient_260,ingredient,cucumber,cucumber
ingredient_261,ingredient,rice vinegar,rice vinegar
cuisine_262,cuisine,japanese,japanese
recipe_263,recipe,41,Rase Wale Aloo Recipe (Boiled Potato in Tangy Tomato Sauce)
ingredient_264,ingredient,potatoes aloo,potatoes aloo
diet_265,diet,diet: no onion no garlic (sattvic),diet: no onion no garlic (sattvic)
recipe_266,recipe,42,Ratatouille with Grilled Cottage Cheese Steak
ingredient_267,ingredient,brinjal baingan eggplant,brinjal baingan eggplant
ingredient_268,ingredient,green zucchini,green zucchini
ingredient_269,ingredient,rosemary,rosemary
cuisine_270,cuisine,french,french
recipe_271,recipe,43,Soya Chunks Sabzi
ingredient_272,ingredient,hot water,hot water
ingredient_273,ingredient,chaat masala powder,chaat masala powder
recipe_274,recipe,44,Creamy Thai Sweet Potato Curry Recipe
ingredient_275,ingredient,sweet potatoes,sweet potatoes
ingredient_276,ingredient,thai red curry paste,thai red curry paste
ingredient_277,ingredient,fresh turmeric root,fresh turmeric root
cuisine_278,cuisine,asian,asian
recipe_279,recipe,45,Kerala Style Chicken Stew Recipe
ingredient_280,ingredient,green beans french beans,green beans french beans
ingredient_281,ingredient,pearl onions sambar onions,pearl onions sambar onions
recipe_282,recipe,46,Gujarati Dhokla Pizza Recipe
ingredient_283,ingredient,rice,rice
ingredient_284,ingredient,white urad dal whole,white urad dal whole
ingredient_285,ingredient,britannia cheezza,britannia cheezza
ingredient_286,ingredient,tomato basil pasta sauce,tomato basil pasta sauce
ingredient_287,ingredient,black olives,black olives
recipe_288,recipe,47,Homemade Whole Wheat Pav Recipe / Ladi Pav
cuisine_289,cuisine,goan,goan
state_290,state,goa,goa
recipe_291,recipe,48,Homemade Hoisin Sauce Recipe
ingredient_292,ingredient,peanut butter,peanut butter
ingredient_293,ingredient,red wine vinaigrette,red wine vinaigrette
ingredient_294,ingredient,chinese 5 spice powder,chinese 5 spice powder
cuisine_295,cuisine,chinese,chinese
recipe_296,recipe,49,Savory Waffles With Roasted Peppers In Sun Dried Tomato Pesto Recipe
ingredient_297,ingredient,sun dried tomatoes,sun dried tomatoes
ingredient_298,ingredient,parmigiano reggiano cheese,parmigiano reggiano cheese
ingredient_299,ingredient,yellow bell pepper capsicum,yellow bell pepper capsicum
ingredient_300,ingredient,pickled jalapenos,pickled jalapenos
ingredient_301,ingredient,sun dried tomato pesto,sun dried tomato pesto
ingredient_302,ingredient,whole egg,whole egg
diet_303,diet,diet: eggetarian,diet: eggetarian
recipe_304,recipe,50,Chicken Wings With Bhuna Masala Recipe
ingredient_305,ingredient,chicken wings,chicken wings
recipe_306,recipe,51,Hurali Saaru Recipe - Healthy Horse Gram and Coconut Curry
ingredient_307,ingredient,horse gram dal kollu kulith,horse gram dal kollu kulith
ingredient_308,ingredient,sambar powder,sambar powder
recipe_309,recipe,52,Broccoli With Lemon Butter Sauce Recipe
ingredient_310,ingredient,broccoli,broccoli
ingredient_311,ingredient,fresh herbs,fresh herbs
recipe_312,recipe,53,Tofu Methi Paratha Recipe
ingredient_313,ingredient,bajra flour pearl millet,bajra flour pearl millet
ingredient_314,ingredient,jowar flour sorghum,jowar flour sorghum
ingredient_315,ingredient,tofu,tofu
recipe_316,recipe,54,Kovakka Thoran (Poriyal) Recipe
ingredient_317,ingredient,tindora dondakaya kovakkai,tindora dondakaya kovakkai
recipe_318,recipe,55,Kala Chana Mithaas Liye Recipe (Chickpeas & Lotus seed In Date Curry)
ingredient_319,ingredient,kala chana brown chickpeas,kala chana brown chickpeas
ingredient_320,ingredient,dates,dates
cuisine_321,cuisine,himachal,himachal
recipe_322,recipe,56,Shabnam Curry Recipe - Mughlai Style Mushroom And Peas Gravy
cuisine_323,cuisine,mughlai,mughlai
state_324,state,delhi,delhi
recipe_325,recipe,57,Kollu Rasam Recipe - Healthy Horse Gram Rasam
ingredient_326,ingredient,ssp asafoetida hing,ssp asafoetida hing
cuisine_327,cuisine,south indian,south indian
recipe_328,recipe,58,Crispy Whole Wheat Pizza With Spinach Pesto & Roasted Vegetables Recipe
ingredient_329,ingredient,salt and pepper,salt and pepper
ingredient_330,ingredient,portobello mushrooms,portobello mushrooms
ingredient_331,ingredient,homemade basil pesto,homemade basil pesto
ingredient_332,ingredient,whole wheat pita bread,whole wheat pita bread
ingredient_333,ingredient,green bell peppers,green bell peppers
recipe_334,recipe,59,Sarson Saag Pulao Recipe-Spinach Mustard Greens Pulao
ingredient_335,ingredient,basmati rice,basmati rice
ingredient_336,ingredient,mustard greens,mustard greens
ingredient_337,ingredient,bathua leaves,bathua leaves
recipe_338,recipe,60,Khakhra Vegetable Pizza Recipe
ingredient_339,ingredient,homemade whole wheat khakras,homemade whole wheat khakras
ingredient_340,ingredient,homemade pizza and pasta sauce,homemade pizza and pasta sauce
ingredient_341,ingredient,red yellow and green bell peppers capsicum,red yellow and green bell peppers capsicum
recipe_342,recipe,61,Rajasthani Gatte Ka Pulao Recipe
ingredient_343,ingredient,gram flour besan,gram flour besan
recipe_344,recipe,62,Dondakkai Puli Curry Recipe - South Indian Style Tindora Curry
recipe_345,recipe,63,Double Chocolate Chip Cookie Recipe Using Archana's Kitchen Double Chocolate Chip Cookie Mix
ingredient_346,ingredient,archanas kitchen double chocolate chip cookie mix,archanas kitchen double chocolate chip cookie mix
ingredient_347,ingredient,butter unsalted,butter unsalted
recipe_348,recipe,64,Rustic Cottage Pie With Mushroom Sauce Recipe
ingredient_349,ingredient,celery,celery
ingredient_350,ingredient,dried thyme leaves,dried thyme leaves
recipe_351,recipe,65,Kondakadalai Puli Vengaya Kuzhambu Recipe (South Indian Style Spicy And Tangy Kala Chana)
ingredient_352,ingredient,homemade tomato puree,homemade tomato puree
cuisine_353,cuisine,chettinad,chettinad
recipe_354,recipe,66,Pan Roasted Herbed Baby Potato Recipe With Vegetables
ingredient_355,ingredient,baby potatoes,baby potatoes
recipe_356,recipe,67,Pan Roasted Zucchini & Mushroom Recipe
recipe_357,recipe,68,Tadkewali Masoor Dal Recipe - High Protein Masoor Dal Recipe
ingredient_358,ingredient,masoor dal whole,masoor dal whole
recipe_359,recipe,69,Zucchini & Red Pepper Muffin Recipe
ingredient_360,ingredient,dill leaves,dill leaves
recipe_361,recipe,70,Himachali Style Pahari Aloo Palda Recipe - Potatoes In Yogurt Gravy
recipe_362,recipe,71,Homemade Stovetop Granola Recipe Using Jaggery
ingredient_363,ingredient,rolled oats,rolled oats
ingredient_364,ingredient,sunflower seeds,sunflower seeds
ingredient_365,ingredient,cranberries,cranberries
ingredient_366,ingredient,palm jaggery,palm jaggery
ingredient_367,ingredient,vanilla extract,vanilla extract
ingredient_368,ingredient,corn flakes,corn flakes
recipe_369,recipe,72,Chinese Vegetable Dry Manchurian Balls Recipe (No Onion No Garlic)
ingredient_370,ingredient,cabbage patta gobi muttaikose,cabbage patta gobi muttaikose
recipe_371,recipe,73,Nigella Seed Beetroot Rice Recipe
recipe_372,recipe,74,Diabetic Friendly Green Moong Dal/ Mung Beans Soup Recipe
recipe_373,recipe,75,Classic Greek salad Recipe
ingredient_374,ingredient,english cucumber,english cucumber
ingredient_375,ingredient,kalmatta olives,kalmatta olives
ingredient_376,ingredient,feta cheese,feta cheese
cuisine_377,cuisine,greek,greek
recipe_378,recipe,76,Oranges With Cottage Cheese Recipe -Sunshine in a Bowl
ingredient_379,ingredient,oranges,oranges
recipe_380,recipe,77,Bhindi And Paneer Masala Recipe
ingredient_381,ingredient,hung curd greek yogurt,hung curd greek yogurt
recipe_382,recipe,78,Healthy Kale Pesto Pasta Recipe
ingredient_383,ingredient,kale,kale
ingredient_384,ingredient,pasta fusilli,pasta fusilli
ingredient_385,ingredient,green chilli paste,green chilli paste
recipe_386,recipe,79,Homemade Harissa Paste Recipe
recipe_387,recipe,80,Sindhi Style Wadi Aloo Ki Sabzi Recipe - Spicy Wadi And Potato Curry
ingredient_388,ingredient,badi wadi,badi wadi
recipe_389,recipe,81,No Onion No Garlic Aloo Makhana Sabzi Recipe
recipe_390,recipe,82,Soya Manchurian Gravy Recipe
ingredient_391,ingredient,chilli vinegar,chilli vinegar
recipe_392,recipe,83,Carrots & Sweet Potato Stuffed Paratha Recipe
recipe_393,recipe,84,Moong Dal Tikki Recipe
ingredient_394,ingredient,amchur dry mango powder,amchur dry mango powder
recipe_395,recipe,85,Roasted Pumpkin Spinach and Walnut Spaghetti Recipe
ingredient_396,ingredient,archanas kitchen durum wheat spaghetti pasta,archanas kitchen durum wheat spaghetti pasta
ingredient_397,ingredient,kaddu parangikai pumpkin,kaddu parangikai pumpkin
recipe_398,recipe,86,Malvani Fish Curry Recipe - Delicious And Spicy Fish Curry
ingredient_399,ingredient,king fish,king fish
ingredient_400,ingredient,star anise,star anise
cuisine_401,cuisine,malvani,malvani
recipe_402,recipe,87,Healthy Fruit Pizza Recipe For Breakfast
ingredient_403,ingredient,instant oats oatmeal,instant oats oatmeal
ingredient_404,ingredient,ripe bananas,ripe bananas
ingredient_405,ingredient,date syrup,date syrup
ingredient_406,ingredient,strawberries,strawberries
ingredient_407,ingredient,kiwi,kiwi
ingredient_408,ingredient,orange,orange
ingredient_409,ingredient,blueberries,blueberries
recipe_410,recipe,88,Mullangi Poriyal Recipe
ingredient_411,ingredient,mooli mullangi radish,mooli mullangi radish
recipe_412,recipe,89,Thayir Semiya Recipe (Curd Semiya)
ingredient_413,ingredient,semiya vermicelli,semiya vermicelli
recipe_414,recipe,90,Pain Viennois | Vienna Bread Recipe
ingredient_415,ingredient,lukewarm water,lukewarm water
ingredient_416,ingredient,milk powder,milk powder
ingredient_417,ingredient,vivatta maida,vivatta maida
ingredient_418,ingredient,egg white,egg white
cuisine_419,cuisine,european,european
recipe_420,recipe,91,Bean Spinach And Corn Quesadilla Recipe
ingredient_421,ingredient,whole wheat flour tortilla,whole wheat flour tortilla
ingredient_422,ingredient,refried beans,refried beans
ingredient_423,ingredient,cheddar cheese,cheddar cheese
recipe_424,recipe,92,Phalguni Dal Recipe - Bengali Style Red Lentils With Fresh Green Peas
recipe_425,recipe,93,Achari Amla Mirchi Ki Sabzi Recipe - Gooseberry & Green Chilli Sabzi
ingredient_426,ingredient,title amla is an indian gooseberry it is also called as nellikai in south india it is considered to be rich in vitamin c amla nellikai gooseberry,title amla is an indian gooseberry it is also called as nellikai in south india it is considered to be rich in vitamin c amla nellikai gooseberry
ingredient_427,ingredient,achari masala,achari masala
recipe_428,recipe,94,तुरई चना सब्ज़ी - Ridge Gourd With Black Gram Dal (Recipe In Hindi)
recipe_429,recipe,95,Rajasthani Style Sukhe Gatte Capsicum Ki Sabzi Recipe
recipe_430,recipe,96,Sweet & Spicy Vegetable Hong Kong Style Recipe
cuisine_431,cuisine,cantonese,cantonese
recipe_432,recipe,97,Tandoori Chicken Curry Recipe
ingredient_433,ingredient,tandoori masala,tandoori masala
ingredient_434,ingredient,onion powder,onion powder
recipe_435,recipe,98,Aubergine Layered Baked Corn Cheese Quinoa Pasta Recipe
ingredient_436,ingredient,archanas kitchen durum wheat penne pasta,archanas kitchen durum wheat penne pasta
recipe_437,recipe,99,Mangalorean Style Ambe Upkari Recipe - Ripe Mango Curry
ingredient_438,ingredient,mango ripe,mango ripe
cuisine_439,cuisine,mangalorean,mangalorean
recipe_440,recipe,100,Milk Braid Rolls Recipe
ingredient_441,ingredient,caster sugar,caster sugar
recipe_442,recipe,101,Konkani Style Kotte Saaru/Halasina Bijada Saru Recipe-Jackfruit Seed Rasam
ingredient_443,ingredient,jackfruit seeds kathal,jackfruit seeds kathal
ingredient_444,ingredient,rasam powder,rasam powder
cuisine_445,cuisine,konkan,konkan
recipe_446,recipe,102,Cheese Masala Omelette Recipe
recipe_447,recipe,103,Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry
cuisine_448,cuisine,coorg,coorg
recipe_449,recipe,104,Turkish Pide Recipe - Crusty Bread with Sesame Seeds
ingredient_450,ingredient,black sesame seeds,black sesame seeds
cuisine_451,cuisine,middle eastern,middle eastern
recipe_452,recipe,105,Rajma and Horse Gram Stuffed Paratha Recipe
recipe_453,recipe,106,Raw Papaya Red Bell Peppers Stuffed Paratha
ingredient_454,ingredient,raw papaya,raw papaya
recipe_455,recipe,107,Vegetable Rava Upma Recipe - Sooji Upma Recipe
ingredient_456,ingredient,sooji semolina rava,sooji semolina rava
recipe_457,recipe,108,Kongunadu Style Vetrilai Sadam Recipe - Betel Leaves Rice
ingredient_458,ingredient,betel leaves paan,betel leaves paan
ingredient_459,ingredient,fresh red chillies,fresh red chillies
cuisine_460,cuisine,kongunadu,kongunadu
recipe_461,recipe,109,Mysore Style Avarekalu Rasam Recipe
ingredient_462,ingredient,avarekalu lilva beans,avarekalu lilva beans
ingredient_463,ingredient,byadagi dried chillies,byadagi dried chillies
cuisine_464,cuisine,karnataka,karnataka
state_465,state,karnataka,karnataka
recipe_466,recipe,110,Parsi Style Paneer Charvela Eda Sathe Recipe-Scrambled Eggs with Paneer Recipe
cuisine_467,cuisine,parsi recipes,parsi recipes
recipe_468,recipe,111,Milagu Jeera Curry Leaf Sadam Recipe
